target,sample_id,actual,predicted,absolute_error
anomaly_label,1101,0.0,0.0,0.0
anomaly_label,128,0.0,0.0,0.0
anomaly_label,998,0.0,0.0,0.0
anomaly_label,761,0.0,0.0,0.0
anomaly_label,802,0.0,0.0,0.0
anomaly_label,605,0.0,0.0,0.0
anomaly_label,143,0.0,0.0,0.0
anomaly_label,215,0.0,0.0,0.0
anomaly_label,244,0.0,0.0,0.0
anomaly_label,420,0.0,0.0,0.0
anomaly_label,309,0.0,0.0,0.0
anomaly_label,258,0.0,0.0,0.0
anomaly_label,366,0.0,0.0,0.0
anomaly_label,557,0.0,0.0,0.0
anomaly_label,890,1.0,1.0,0.0
anomaly_label,82,0.0,0.0,0.0
anomaly_label,405,0.0,0.0,0.0
anomaly_label,160,0.0,0.0,0.0
anomaly_label,321,0.0,0.0,0.0
anomaly_label,1172,0.0,0.0,0.0
severity_score,405,0.0,0.26522807226961775,0.26522807226961775
severity_score,544,0.0,0.2391481424161027,0.2391481424161027
severity_score,647,0.5917217693182611,0.5379496121989018,0.05377215711935934
severity_score,850,0.0,0.24115675628593014,0.24115675628593014
severity_score,34,0.0,0.29801746990480193,0.29801746990480193
severity_score,715,0.0,0.2808609978710144,0.2808609978710144
severity_score,1029,0.0,0.22508985657205852,0.22508985657205852
severity_score,1179,0.0,0.2416691073306337,0.2416691073306337
severity_score,1052,0.2373648517960459,0.4163751782998159,0.17901032650377
severity_score,162,0.0,0.18182985605895194,0.18182985605895194
severity_score,109,0.0,0.21730110237737568,0.21730110237737568
severity_score,1201,0.0,0.18980174051700768,0.18980174051700768
severity_score,904,0.1544460672332269,0.261668240447984,0.10722217321475708
severity_score,216,0.0,0.46688495506938194,0.46688495506938194
severity_score,466,0.0,0.5011069398379556,0.5011069398379556
severity_score,547,0.0,0.2084311197454004,0.2084311197454004
severity_score,358,0.0,0.1839910523526657,0.1839910523526657
severity_score,182,0.0,0.1891639978168918,0.1891639978168918
severity_score,746,0.0,0.20325688887898824,0.20325688887898824
severity_score,582,0.0,0.17560389297834045,0.17560389297834045
severity_stage,1195,0.0,0.0,0.0
severity_stage,9,0.0,0.0,0.0
severity_stage,167,0.0,0.0,0.0
severity_stage,1166,0.0,0.0,0.0
severity_stage,581,0.0,0.0,0.0
severity_stage,434,0.0,0.0,0.0
severity_stage,53,0.0,0.0,0.0
severity_stage,1009,0.0,0.0,0.0
severity_stage,788,0.0,0.0,0.0
severity_stage,1186,0.0,0.0,0.0
severity_stage,75,0.0,0.0,0.0
severity_stage,498,0.0,0.0,0.0
severity_stage,918,0.0,0.0,0.0
severity_stage,540,0.0,0.0,0.0
severity_stage,1153,0.0,0.0,0.0
severity_stage,1044,0.0,0.0,0.0
severity_stage,703,0.0,0.0,0.0
severity_stage,613,0.0,0.0,0.0
severity_stage,929,0.0,0.0,0.0
severity_stage,156,0.0,0.0,0.0
ttf_km,181,55708.45747713521,55650.51170152719,57.945775608022814
ttf_km,517,56039.47236124404,56152.04884653525,112.57648529120343
ttf_km,196,56691.58948613489,56573.77802668017,117.81145945472235
ttf_km,558,55945.66215824245,56349.26731405099,403.60515580853826
ttf_km,35,55859.81277559918,55558.20326119332,301.6095144058636
ttf_km,254,56197.72709070366,56159.55231612339,38.17477458027133
ttf_km,57,57007.887888548736,56992.97684874991,14.911039798826096
ttf_km,639,55886.66913478594,56013.0252426015,126.3561078155617
ttf_km,670,42067.04971096783,41186.95999182663,880.0897191412005
ttf_km,804,56354.64866006748,56533.30105048248,178.65239041499444
ttf_km,76,56016.46996203394,55988.559506071964,27.91045596197364
ttf_km,840,55557.96320379728,55582.29817717924,24.33497338196321
ttf_km,820,55741.93810211159,55811.159358777484,69.22125666589272
ttf_km,89,55739.842019947006,55627.21750523899,112.62451470801898
ttf_km,845,54993.28702545021,55351.53423610192,358.2472106517089
ttf_km,622,56887.00086804296,56889.27238285214,2.271514809181099
ttf_km,598,56497.31115969131,56558.34736772731,61.03620803599915
ttf_km,1105,56094.797242308094,56015.11614046391,79.68110184418038
ttf_km,510,27669.686615093346,28237.316839902196,567.6302248088505
ttf_km,1152,55756.63644842393,55801.84167191793,45.205223493998346
